,activation_0,activation_1,activation_2,dist,id,vel
0,"[ 12.45892143  62.92930603  21.62448311  53.82727814  27.5199852
  45.93181229   0.08808291  22.31876755   5.85563374  61.36386871]","[ 1.47789752  1.06059062  1.97153127  2.04660201  4.83900499  0.8729021
  0.39834988  4.28179693  0.21411331  1.24992847]","[ 48.640728    52.15045929   6.04019976  69.84583282   5.23446512
   1.21433794   5.55683947  33.87689209  15.67713737  11.46219349]",24.954875946,1,2.0
1,"[  6.29293060e+01   2.16244831e+01   5.38272781e+01   2.75199852e+01
   4.59318123e+01   8.80829096e-02   2.23187675e+01   5.85563374e+00
   6.13638687e+01   1.54147430e+02]","[  1.06059062   1.97153127   2.04660201   4.83900499   0.8729021
   0.39834988   4.28179693   0.21411331   1.24992847  66.16021729]","[  52.15045929    6.04019976   69.84583282    5.23446512    1.21433794
    5.55683947   33.87689209   15.67713737   11.46219349  507.76913452]",24.9546871185,1,2.0
2,"[  2.16244831e+01   5.38272781e+01   2.75199852e+01   4.59318123e+01
   8.80829096e-02   2.23187675e+01   5.85563374e+00   6.13638687e+01
   1.54147430e+02   2.73318390e+02]","[  1.97153127   2.04660201   4.83900499   0.8729021    0.39834988
   4.28179693   0.21411331   1.24992847  66.16021729  32.85258102]","[   6.04019976   69.84583282    5.23446512    1.21433794    5.55683947
   33.87689209   15.67713737   11.46219349  507.76913452   77.04872894]",24.9413452148,1,2.0
3,"[  5.38272781e+01   2.75199852e+01   4.59318123e+01   8.80829096e-02
   2.23187675e+01   5.85563374e+00   6.13638687e+01   1.54147430e+02
   2.73318390e+02   5.98472717e+02]","[  2.04660201   4.83900499   0.8729021    0.39834988   4.28179693
   0.21411331   1.24992847  66.16021729  32.85258102  56.87604904]","[  69.84583282    5.23446512    1.21433794    5.55683947   33.87689209
   15.67713737   11.46219349  507.76913452   77.04872894  335.96575928]",24.9137210846,1,2.0
4,"[  2.75199852e+01   4.59318123e+01   8.80829096e-02   2.23187675e+01
   5.85563374e+00   6.13638687e+01   1.54147430e+02   2.73318390e+02
   5.98472717e+02   2.63118988e+02]","[  4.83900499   0.8729021    0.39834988   4.28179693   0.21411331
   1.24992847  66.16021729  32.85258102  56.87604904  57.33635712]","[   5.23446512    1.21433794    5.55683947   33.87689209   15.67713737
   11.46219349  507.76913452   77.04872894  335.96575928   58.22145462]",24.7694854736,1,2.0
5,"[  4.59318123e+01   8.80829096e-02   2.23187675e+01   5.85563374e+00
   6.13638687e+01   1.54147430e+02   2.73318390e+02   5.98472717e+02
   2.63118988e+02   1.60275116e+02]","[  0.8729021    0.39834988   4.28179693   0.21411331   1.24992847
  66.16021729  32.85258102  56.87604904  57.33635712  15.6625309 ]","[   1.21433794    5.55683947   33.87689209   15.67713737   11.46219349
  507.76913452   77.04872894  335.96575928   58.22145462  286.20794678]",24.6471843719,1,2.0
6,"[  8.80829096e-02   2.23187675e+01   5.85563374e+00   6.13638687e+01
   1.54147430e+02   2.73318390e+02   5.98472717e+02   2.63118988e+02
   1.60275116e+02   4.22529480e+02]","[  0.39834988   4.28179693   0.21411331   1.24992847  66.16021729
  32.85258102  56.87604904  57.33635712  15.6625309   15.26344395]","[   5.55683947   33.87689209   15.67713737   11.46219349  507.76913452
   77.04872894  335.96575928   58.22145462  286.20794678  361.01782227]",24.5050754547,1,2.0
7,"[  22.31876755    5.85563374   61.36386871  154.14743042  273.31838989
  598.47271729  263.11898804  160.27511597  422.52947998  499.37866211]","[  4.28179693   0.21411331   1.24992847  66.16021729  32.85258102
  56.87604904  57.33635712  15.6625309   15.26344395  45.20262909]","[  33.87689209   15.67713737   11.46219349  507.76913452   77.04872894
  335.96575928   58.22145462  286.20794678  361.01782227  523.92816162]",24.1823863983,1,2.0
8,"[   5.85563374   61.36386871  154.14743042  273.31838989  598.47271729
  263.11898804  160.27511597  422.52947998  499.37866211   16.92967415]","[  0.21411331   1.24992847  66.16021729  32.85258102  56.87604904
  57.33635712  15.6625309   15.26344395  45.20262909  12.04388142]","[  15.67713737   11.46219349  507.76913452   77.04872894  335.96575928
   58.22145462  286.20794678  361.01782227  523.92816162  306.04992676]",24.009847641,1,2.0
9,"[  61.36386871  154.14743042  273.31838989  598.47271729  263.11898804
  160.27511597  422.52947998  499.37866211   16.92967415  366.36099243]","[  1.24992847  66.16021729  32.85258102  56.87604904  57.33635712
  15.6625309   15.26344395  45.20262909  12.04388142  15.28137779]","[  11.46219349  507.76913452   77.04872894  335.96575928   58.22145462
  286.20794678  361.01782227  523.92816162  306.04992676  200.89303589]",23.6513080597,1,2.0
