,activation,activation_gradient,distance,fov_x,velocity
0,-0.00144908666569,,25.28,45,-0.05
1,-0.225210374404,,25.27,45,0.01
2,-0.657508525409,,25.27,45,0.08
3,-0.212428738288,,25.25,45,0.22
4,0.16717271096,,25.21,45,0.43
5,0.417557521104,,25.16,45,0.58
6,0.0453949391019,,25.09,45,0.7
7,,,25.01,45,0.78
8,-0.160786845023,,24.93,45,0.83
9,-0.0122760590373,,24.84,45,0.86
10,0.0730941845741,,24.75,45,0.89
11,0.0781308571847,,24.65,45,0.91
12,0.0581907436692,,24.56,45,0.93
13,,,24.46,45,0.94
14,0.139489896216,,24.36,45,0.96
15,0.0788481880751,,24.26,45,0.96
16,0.132490761383,,24.15,45,0.97
17,0.0715339944242,,24.05,45,0.98
18,0.0603920794662,,23.95,45,0.99
19,0.0784651867285,,23.84,45,0.99
20,0.0963976699218,,23.73,45,1.0
21,0.052682039531,,23.64,45,1.0
22,0.0783318141532,,23.53,45,1.01
23,0.063444514163,,23.42,45,1.01
24,0.0857881194014,,23.31,45,1.01
25,0.0529593614534,,23.21,45,1.01
26,0.0653320088958,,23.08,45,1.02
27,0.0814911729906,,22.99,45,1.02
28,0.0699408842506,,22.88,45,1.02
29,0.0813902850598,,22.77,45,1.02
30,0.07774318026,,22.66,45,1.02
31,,,22.55,45,1.02
32,0.186580092425,,22.44,45,1.02
33,0.0718414931575,,22.33,45,1.02
34,0.0884195534487,,22.22,45,1.02
35,0.0766020940593,,22.11,45,1.02
36,0.0849939367318,,22.0,45,1.02
37,0.0925161280559,,21.89,45,1.02
38,0.0765987569565,,21.78,45,1.03
39,0.0757998324406,,21.67,45,1.03
40,0.0710031095512,,21.56,45,1.03
41,0.0668003069667,,21.45,45,1.03
42,0.0877070849155,,21.34,45,1.03
43,0.0595745146158,,21.23,45,1.03
44,0.119738279291,,21.12,45,1.03
45,0.0731340190932,,21.01,45,1.03
46,0.0824103211312,,20.9,45,1.03
47,0.076843742958,,20.79,45,1.03
48,0.0799404568685,,20.68,45,1.02
49,0.0863169013594,,20.57,45,1.02
50,0.0417915676134,,20.46,45,1.02
51,0.0600252410691,,20.35,45,1.02
52,,,20.24,45,1.03
53,0.170497127091,,20.13,45,1.03
54,,,20.02,45,1.02
55,0.183356323738,,19.91,45,1.02
56,0.0906456591646,,19.8,45,1.02
57,0.0790971988344,,19.7,45,1.02
58,0.0742428932115,,19.59,45,1.02
59,0.0709107810637,,19.47,45,1.02
60,0.0846355779276,,19.38,45,1.02
61,0.0779374937951,,19.25,45,1.02
62,0.0935997840531,,19.16,45,1.02
63,0.0682609943374,,19.05,45,1.02
64,0.0595414298026,,18.94,45,1.02
65,0.086815323896,,18.83,45,1.02
66,0.0767044631867,,18.73,45,1.02
67,0.0747484074279,,18.62,45,1.02
68,0.0554042430239,,18.51,45,1.02
69,0.101131921588,,18.4,45,1.02
70,0.0701076626931,,18.3,45,1.02
71,,,18.19,45,1.01
72,0.1807887676,,18.09,45,1.01
73,0.0553988474362,,17.98,45,1.01
74,0.0779856765785,,17.88,45,1.01
75,0.0807358826366,,17.76,45,1.01
76,,,17.66,45,1.01
77,0.180678490523,,17.55,45,1.01
78,,,17.45,45,1.01
79,0.169817325943,,17.34,45,1.01
80,0.0769607840172,,17.23,45,1.01
81,0.0751397253982,,17.12,45,1.01
82,0.0989135351232,,17.02,45,1.01
83,,,16.91,45,1.01
84,0.0947562008329,,16.81,45,1.01
85,0.0500117226584,,16.7,45,1.01
86,0.0782982676744,,16.58,45,1.01
87,0.0521340820758,,16.49,45,1.02
88,0.0861790282012,,16.38,45,1.02
89,0.0761800501592,,16.27,45,1.02
90,0.0508807452308,,16.16,45,1.02
91,,,16.06,45,1.02
92,0.0634961133332,,15.95,45,1.02
93,0.10777456857,,15.84,45,1.02
94,0.0852282771947,,15.74,45,1.02
95,0.0662130871379,,15.63,45,1.02
96,,,15.52,45,1.02
97,0.170273019849,,15.42,45,1.01
